% frame a, frame b, inliers, ax, ay, az, aqx, aqy, aqz, aqw, bx, by, bz, bqx, bqy, bqz, bqw
9,122,94,-39.4807,-42.7326,1.50901,-0.113892,0.223612,0.573057,0.780148,-39.7103,-42.4922,1.36086,-0.196471,0.119752,0.341935,0.91112
211,410,98,-51.4837,-30.9682,-3.51845,0.0905619,0.289965,0.836598,-0.455876,-52.1477,-31.6853,-3.12333,-0.2274,0.11312,0.571613,0.780225
38,405,83,-52.8518,-35.4432,-1.3244,0.0410836,0.254955,0.859975,-0.440175,-54.0412,-36.1993,-0.754992,-0.130204,0.093513,0.567125,0.807881
22,364,61,-41.4994,-36.9864,-0.314489,0.000193785,0.227966,0.959215,0.167146,-42.6154,-36.0841,-0.902233,-0.0985496,-0.165892,-0.779008,0.596585
29,276,99,-47.1445,-35.6099,-0.636764,0.0105574,0.250251,0.95774,0.141408,-47.9384,-35.5779,-0.883531,-0.11011,0.111014,0.608438,0.778046
154,216,95,-52.9117,-34.3187,-1.65222,-0.0983016,-0.256654,-0.78529,0.554784,-52.5539,-34.0415,-1.93855,-0.111099,-0.252555,-0.741955,0.611045
70,125,21,-38.1042,-41.3494,0.882131,-0.0571268,0.177065,0.638056,0.747174,-38.3354,-41.0172,0.620549,-0.0768686,0.161926,0.54855,0.816679
280,421,75,-46.3373,-31.4816,-2.93606,-0.20395,0.0538628,0.284399,0.935212,-46.8553,-30.7487,-3.09807,-0.21805,-0.138789,-0.119603,0.958586
201,421,65,-45.9385,-30.7866,-2.91268,-0.000667096,0.294411,0.946855,0.129569,-46.8553,-30.7487,-3.09807,-0.21805,-0.138789,-0.119603,0.958586
201,348,81,-45.9385,-30.7866,-2.91268,-0.000667096,0.294411,0.946855,0.129569,-47.5413,-30.4483,-3.51784,-0.261193,-0.0797561,0.0468008,0.960847
39,404,187,-53.4621,-35.8768,-0.955248,-0.106942,-0.256551,-0.810927,0.51492,-54.2499,-36.6209,-0.522352,-0.144784,0.0764932,0.591585,0.789439
323,383,450,-49.8205,-45.119,2.65052,-0.000704201,0.170198,0.974542,0.145946,-49.7539,-45.1234,2.56277,-0.0098615,0.177849,0.980782,0.0796182
139,359,9,-41.8647,-33.5085,-2.14216,-0.00444437,0.211154,0.970363,0.117428,-42.6417,-32.1515,-2.77404,-0.153252,-0.10037,-0.603651,0.775916
107,270,49,-50.7033,-40.5882,0.861059,-0.130054,-0.0576338,-0.104126,0.984338,-49.6984,-41.5425,1.15879,-0.119329,0.116565,0.628329,0.759852
